ticker,Return,marketCap,beta,Volatility,cluster,Risk_Segment,sector
MMM,-0.00018026601003342426,80967753728,1.079,0.01068846045911163,1,Low-Risk / Defensive / Stable,Industrials
AOS,-0.001908812131199444,10156529664,1.203,0.011209022628015347,0,Aggressive / Underperforming,Industrials
ABT,-0.0008122331266863566,216418697216,0.732,0.008182646051659989,1,Low-Risk / Defensive / Stable,Healthcare
ABBV,0.0024737305973061992,336039936000,0.481,0.013036464116043795,1,Low-Risk / Defensive / Stable,Healthcare
ACN,-0.00016823413805369872,179898613760,1.293,0.01695750765693327,0,Aggressive / Underperforming,Technology
ADBE,-0.004132352352493967,157910581248,1.509,0.030514770760136176,0,Aggressive / Underperforming,Technology
AMD,-0.0036826736590761452,256067698688,2.045,0.021528166619762198,0,Aggressive / Underperforming,Technology
AES,-0.002733773049385222,9775770624,0.941,0.020351659846223447,0,Aggressive / Underperforming,Utilities
AFL,-0.0022969271054297216,55378268160,0.798,0.012163087858719526,1,Low-Risk / Defensive / Stable,Financial Services
A,0.001916080082575673,34110525440,1.232,0.013341674451265545,0,Aggressive / Underperforming,Healthcare
APD,-0.002973277668118679,66306985984,0.866,0.011401106917015518,1,Low-Risk / Defensive / Stable,Basic Materials
ABNB,-0.00027534703009723786,86338838528,1.135,0.018204455139746507,0,Aggressive / Underperforming,Consumer Cyclical
AKAM,0.002995241171855983,11438120960,0.775,0.015617658998370424,1,Low-Risk / Defensive / Stable,Technology
ALB,-0.006021865885579733,9219915776,1.63,0.02728927509361489,0,Aggressive / Underperforming,Basic Materials
ARE,-0.0021838351542702223,14128869376,1.266,0.01619077046921606,0,Aggressive / Underperforming,Real Estate
ALGN,-0.002342473343655961,14790523904,1.635,0.026095237492444894,0,Aggressive / Underperforming,Healthcare
ALLE,-0.002122620721062653,13276115968,1.025,0.009141657490053485,1,Low-Risk / Defensive / Stable,Industrials
LNT,-0.0010212821645738564,16595474432,0.56,0.0080110931108237,1,Low-Risk / Defensive / Stable,Utilities
ALL,-0.0005521455763738149,52183707648,0.325,0.013584944268185177,1,Low-Risk / Defensive / Stable,Financial Services
GOOGL,0.003137975125464994,2307292921856,1.005,0.022037185431633192,2,Blue-Chip / Moderate Risk,Communication Services
GOOG,0.0030682714078512445,2311780302848,1.005,0.021533919476437645,2,Blue-Chip / Moderate Risk,Communication Services
MO,-0.0016011788952376214,100670144512,0.624,0.009200465307892855,1,Low-Risk / Defensive / Stable,Consumer Defensive
AMZN,0.002652267107280837,2424361189376,1.337,0.017185786978702468,2,Blue-Chip / Moderate Risk,Consumer Cyclical
AMCR,-0.0023372442435567625,22432219136,0.727,0.014096223571028342,1,Low-Risk / Defensive / Stable,Consumer Cyclical
AEE,-0.0005231897633868829,27130177536,0.495,0.009320466450020555,1,Low-Risk / Defensive / Stable,Utilities
AEP,-0.0014428885642255214,58205888512,0.404,0.008761305638482469,1,Low-Risk / Defensive / Stable,Utilities
AXP,0.0011331886771595609,214115926016,1.258,0.01433352797916952,0,Aggressive / Underperforming,Financial Services
AIG,-0.0011494030776249618,45671272448,0.648,0.011032125509629372,1,Low-Risk / Defensive / Stable,Financial Services
AMT,-0.0019946509119556687,108091891712,0.828,0.015581212930114885,1,Low-Risk / Defensive / Stable,Real Estate
AWK,-0.002510975608998624,27697553408,0.682,0.01108019718503293,1,Low-Risk / Defensive / Stable,Utilities
AMP,-0.0018277698527035635,51090309120,1.221,0.010260846649871992,0,Aggressive / Underperforming,Financial Services
AME,-0.002245445425595037,41745231872,1.097,0.009023380104513904,1,Low-Risk / Defensive / Stable,Industrials
AMGN,-0.0025498215973830418,165409112064,0.48,0.014375090493302718,1,Low-Risk / Defensive / Stable,Healthcare
