ticker,currentPrice,beta,marketCap,volume,dividendYield,sector_Communication Services,sector_Consumer Cyclical,sector_Consumer Defensive,sector_Energy,sector_Financial Services,sector_Healthcare,sector_Industrials,sector_Real Estate,sector_Technology,sector_Utilities
MMM,149.235,1.079,79487041536,1739892,1.99,False,False,False,False,False,False,True,False,False,False
AOS,70.705,1.203,9907892224,700033,1.92,False,False,False,False,False,False,True,False,False,False
ABT,128.26,0.732,223151865856,1964467,1.84,False,False,False,False,False,True,False,False,False,False
ABBV,191.56,0.481,338371575808,4907833,3.47,False,False,False,False,False,True,False,False,False,False
ACN,269.41,1.293,167802830848,2081175,2.16,False,False,False,False,False,False,False,False,True,False
ADBE,356.67,1.509,151299424256,2371014,0.0,False,False,False,False,False,False,False,False,True,False
AMD,177.7164,2.045,288149372928,47809666,0.0,False,False,False,False,False,False,False,False,True,False
AES,13.09,0.941,9319072768,5237778,5.38,False,False,False,False,False,False,False,False,False,True
AFL,99.7,0.798,53902303232,926276,2.35,False,False,False,False,True,False,False,False,False,False
A,116.915,1.232,33211459584,776952,0.84,False,False,False,False,False,True,False,False,False,False
APD,287.205,0.866,63915745280,802292,2.47,False,False,False,False,False,False,False,False,False,False
ABNB,133.14,1.135,82175737856,1529209,0.0,False,True,False,False,False,False,False,False,False,False
AKAM,77.635,0.775,11050255360,553153,0.0,False,False,False,False,False,False,False,False,True,False
ALB,68.29,1.63,8035069952,3856141,2.35,False,False,False,False,False,False,False,False,False,False
ARE,77.09,1.266,13160881152,478003,6.77,False,False,False,False,False,False,False,True,False,False
ALGN,130.0122,1.635,9423908864,9270213,0.0,False,False,False,False,False,True,False,False,False,False
ALLE,165.795,1.025,14232920064,445711,1.24,False,False,False,False,False,False,True,False,False,False
LNT,64.87,0.56,16663546880,625160,3.12,False,False,False,False,False,False,False,False,False,True
ALL,205.4,0.325,54393614336,2049943,2.08,False,False,False,False,True,False,False,False,False,False
GOOGL,192.79,1.005,2336441237504,31473667,0.43,True,False,False,False,False,False,False,False,False,False
GOOG,193.77,1.005,2337505542144,16360153,0.43,True,False,False,False,False,False,False,False,False,False
MO,61.91,0.624,104001994752,4783755,6.63,False,False,True,False,False,False,False,False,False,False
AMZN,234.43,1.337,2488802476032,50298746,0.0,False,True,False,False,False,False,False,False,False,False
AMCR,9.38,0.727,21492768768,10965516,5.35,False,True,False,False,False,False,False,False,False,False
AEE,100.82,0.495,27333511168,598557,2.84,False,False,False,False,False,False,False,False,False,True
AEP,112.96,0.08344834933670216,60410441728,2029099,3.28,False,False,False,False,False,False,False,False,False,True
AXP,300.2775,1.258,208957702144,1220921,1.08,False,False,False,False,True,False,False,False,False,False
AIG,78.04,0.648,44976791552,1649011,2.33,False,False,False,False,True,False,False,False,False,False
AMT,208.51,0.828,97635016704,1015842,3.26,False,False,False,False,False,False,False,True,False,False
AWK,140.13,0.682,27327033344,752054,2.37,False,False,False,False,False,False,False,False,False,True
AMP,518.555,1.221,48951590912,249694,1.23,False,False,False,False,True,False,False,False,False,False
AME,186.63,1.097,43088949248,1728596,0.7,False,False,False,False,False,False,True,False,False,False
AMGN,299.275,0.48,160921960448,596334,3.16,False,False,False,False,False,True,False,False,False,False
APH,107.64,1.139,131419832320,8043952,0.63,False,False,False,False,False,False,False,False,True,False
ADI,224.56,1.018,111444893696,1249845,1.71,False,False,False,False,False,False,False,False,True,False
AON,357.14,0.839,77009035264,567394,0.84,False,False,False,False,True,False,False,False,False,False
APA,19.31,1.25,6967916544,3522606,5.13,False,False,False,True,False,False,False,False,False,False
APO,145.48,1.572,83140943872,1003855,1.4,False,False,False,False,True,False,False,False,False,False
AAPL,208.78,1.199,3118076788736,28950435,0.5,False,False,False,False,False,False,False,False,True,False
AMAT,179.59,1.688,144120610816,5417245,0.97,False,False,False,False,False,False,False,False,True,False
ACGL,85.975,0.491,32275013632,1412951,0.0,False,False,False,False,True,False,False,False,False,False
ADM,54.51,0.673,26189328384,910881,3.7,False,False,True,False,False,False,False,False,False,False
ANET,124.61,1.404,156500197376,9261916,0.0,False,False,False,False,False,False,False,False,True,False
AJG,289.5525,0.713,74140778496,1227840,0.91,False,False,False,False,True,False,False,False,False,False
AIZ,188.64,0.585,9564481536,184350,1.73,False,False,False,False,True,False,False,False,False,False
T,27.558,0.609,197050449920,14516674,4.04,True,False,False,False,False,False,False,False,False,False
ATO,156.155,0.692,24803190784,240616,2.23,False,False,False,False,False,False,False,False,False,True
ADSK,306.2,1.444,65509957632,431382,0.0,False,False,False,False,False,False,False,False,True,False
ADP,311.785,0.6216674771747444,126560706560,685899,1.98,False,False,False,False,False,False,False,False,True,False
AZO,3809.08,0.389,63720955904,72175,0.0,False,True,False,False,False,False,False,False,False,False
AVB,189.02,0.856,26910400512,776101,3.57,False,False,False,False,False,False,False,True,False,False
AVY,168.5,0.874,13139899392,296882,2.23,False,True,False,False,False,False,False,False,False,False
AXON,761.06,1.288,59249131520,232200,0.0,False,False,False,False,False,False,True,False,False,False
BKR,45.25,0.894,44611022848,2758598,2.02,False,False,False,True,False,False,False,False,False,False
BALL,57.345,1.085,15908534272,996583,1.38,False,True,False,False,False,False,False,False,False,False
BAC,47.575,1.31,353800060928,15833725,2.34,False,False,False,False,True,False,False,False,False,False
BAX,22.545,0.609,11569530880,23737236,2.42,False,False,False,False,False,True,False,False,False,False
BDX,180.846,0.277,51831730176,1148826,2.29,False,False,False,False,False,True,False,False,False,False
BRK-B,475.95,0.818,1026876506112,2264703,0.0,False,False,False,False,True,False,False,False,False,False
BBY,65.28,1.261,13796732928,1135533,5.78,False,True,False,False,False,False,False,False,False,False
TECH,56.07,1.384,8789925888,1234582,0.55,False,False,False,False,False,True,False,False,False,False
BIIB,128.075,0.141,18766573568,1728383,0.0,False,False,False,False,False,True,False,False,False,False
BLK,1109.31,1.424,171721195520,169620,1.87,False,False,False,False,True,False,False,False,False,False
BX,172.82,1.64,212592803840,1255571,2.43,False,False,False,False,True,False,False,False,False,False
XYZ,77.59,2.742,47719321600,3332319,0.0,False,False,False,False,False,False,False,False,True,False
BK,101.94,1.066,71892271104,956930,2.07,False,False,False,False,True,False,False,False,False,False
BKNG,5538.375,1.406,179498172416,148441,0.68,False,True,False,False,False,False,False,False,False,False
BSX,105.865,0.681,156621963264,2466284,0.0,False,False,False,False,False,True,False,False,False,False
BMY,43.52,0.371,88587026432,24586282,5.39,False,False,False,False,False,True,False,False,False,False
AVGO,293.87,1.138,1382208765952,12003323,0.78,False,False,False,False,False,False,False,False,True,False
BR,248.09,0.955,29141395456,203565,1.43,False,False,False,False,False,False,False,False,True,False
BRO,91.56,0.82,30200424448,2216185,0.65,False,False,False,False,True,False,False,False,False,False
BF-B,28.63,0.55,13505228800,1581899,3.08,False,False,True,False,False,False,False,False,False,False
