,ticker,currentPrice,beta,marketCap,volume,dividendYield,sector
0,MMM,149.235,1.079,79487041536,1739892,1.99,Industrials
1,AOS,70.705,1.203,9907892224,700033,1.92,Industrials
2,ABT,128.26,0.732,223151865856,1964467,1.84,Healthcare
3,ABBV,191.56,0.481,338371575808,4907833,3.47,Healthcare
4,ACN,269.41,1.293,167802830848,2081175,2.16,Technology
5,ADBE,356.67,1.509,151299424256,2371014,0.0,Technology
6,AMD,177.7164,2.045,288149372928,47809666,0.0,Technology
7,AES,13.09,0.941,9319072768,5237778,5.38,Utilities
8,AFL,99.7,0.798,53902303232,926276,2.35,Financial Services
9,A,116.915,1.232,33211459584,776952,0.84,Healthcare
10,APD,287.205,0.866,63915745280,802292,2.47,Communication Services
11,ABNB,133.14,1.135,82175737856,1529209,0.0,Consumer Cyclical
12,AKAM,77.635,0.775,11050255360,553153,0.0,Technology
13,ALB,68.29,1.63,8035069952,3856141,2.35,Communication Services
14,ARE,77.09,1.266,13160881152,478003,6.77,Real Estate
15,ALGN,130.0122,1.635,9423908864,9270213,0.0,Healthcare
16,ALLE,165.795,1.025,14232920064,445711,1.24,Industrials
17,LNT,64.87,0.56,16663546880,625160,3.12,Utilities
18,ALL,205.4,0.325,54393614336,2049943,2.08,Financial Services
19,GOOGL,192.79,1.005,2336441237504,31473667,0.43,Communication Services
20,GOOG,193.77,1.005,2337505542144,16360153,0.43,Communication Services
21,MO,61.91,0.624,104001994752,4783755,6.63,Consumer Defensive
22,AMZN,234.43,1.337,2488802476032,50298746,0.0,Consumer Cyclical
23,AMCR,9.38,0.727,21492768768,10965516,5.35,Consumer Cyclical
24,AEE,100.82,0.495,27333511168,598557,2.84,Utilities
25,AEP,112.96,0.0834483493367021,60410441728,2029099,3.28,Utilities
26,AXP,300.2775,1.258,208957702144,1220921,1.08,Financial Services
27,AIG,78.04,0.648,44976791552,1649011,2.33,Financial Services
28,AMT,208.51,0.828,97635016704,1015842,3.26,Real Estate
29,AWK,140.13,0.682,27327033344,752054,2.37,Utilities
30,AMP,518.555,1.221,48951590912,249694,1.23,Financial Services
31,AME,186.63,1.097,43088949248,1728596,0.7,Industrials
32,AMGN,299.275,0.48,160921960448,596334,3.16,Healthcare
33,APH,107.64,1.139,131419832320,8043952,0.63,Technology
34,ADI,224.56,1.018,111444893696,1249845,1.71,Technology
35,AON,357.14,0.839,77009035264,567394,0.84,Financial Services
36,APA,19.31,1.25,6967916544,3522606,5.13,Energy
37,APO,145.48,1.572,83140943872,1003855,1.4,Financial Services
38,AAPL,208.78,1.199,3118076788736,28950435,0.5,Technology
39,AMAT,179.59,1.688,144120610816,5417245,0.97,Technology
40,ACGL,85.975,0.491,32275013632,1412951,0.0,Financial Services
41,ADM,54.51,0.673,26189328384,910881,3.7,Consumer Defensive
42,ANET,124.61,1.404,156500197376,9261916,0.0,Technology
43,AJG,289.5525,0.713,74140778496,1227840,0.91,Financial Services
44,AIZ,188.64,0.585,9564481536,184350,1.73,Financial Services
45,T,27.558,0.609,197050449920,14516674,4.04,Communication Services
46,ATO,156.155,0.692,24803190784,240616,2.23,Utilities
47,ADSK,306.2,1.444,65509957632,431382,0.0,Technology
48,ADP,311.785,0.6216674771747444,126560706560,685899,1.98,Technology
49,AZO,3809.08,0.389,63720955904,72175,0.0,Consumer Cyclical
50,AVB,189.02,0.856,26910400512,776101,3.57,Real Estate
51,AVY,168.5,0.874,13139899392,296882,2.23,Consumer Cyclical
52,AXON,761.06,1.288,59249131520,232200,0.0,Industrials
53,BKR,45.25,0.894,44611022848,2758598,2.02,Energy
54,BALL,57.345,1.085,15908534272,996583,1.38,Consumer Cyclical
55,BAC,47.575,1.31,353800060928,15833725,2.34,Financial Services
56,BAX,22.545,0.609,11569530880,23737236,2.42,Healthcare
57,BDX,180.846,0.277,51831730176,1148826,2.29,Healthcare
58,BRK-B,475.95,0.818,1026876506112,2264703,0.0,Financial Services
59,BBY,65.28,1.261,13796732928,1135533,5.78,Consumer Cyclical
60,TECH,56.07,1.384,8789925888,1234582,0.55,Healthcare
61,BIIB,128.075,0.141,18766573568,1728383,0.0,Healthcare
62,BLK,1109.31,1.424,171721195520,169620,1.87,Financial Services
63,BX,172.82,1.64,212592803840,1255571,2.43,Financial Services
64,XYZ,77.59,2.742,47719321600,3332319,0.0,Technology
65,BK,101.94,1.066,71892271104,956930,2.07,Financial Services
66,BKNG,5538.375,1.406,179498172416,148441,0.68,Consumer Cyclical
67,BSX,105.865,0.681,156621963264,2466284,0.0,Healthcare
68,BMY,43.52,0.371,88587026432,24586282,5.39,Healthcare
69,AVGO,293.87,1.138,1382208765952,12003323,0.78,Technology
70,BR,248.09,0.955,29141395456,203565,1.43,Technology
71,BRO,91.56,0.82,30200424448,2216185,0.65,Financial Services
72,BF-B,28.63,0.55,13505228800,1581899,3.08,Consumer Defensive
73,BLDR,124.38,1.695,13745855488,2427764,0.0,Industrials
74,BG,80.37,0.653,16075366400,1285247,3.49,Consumer Defensive
75,BXP,65.87,1.174,11644827648,628327,5.57,Real Estate
76,CHRW,115.305,0.897,13690277888,3184850,2.54,Industrials
77,CDNS,367.21,0.988,100061044736,1422074,0.0,Technology
78,CZR,26.92,2.298,5599144448,7646430,0.0,Consumer Cyclical
79,CPT,109.9797,0.78,11750010880,773609,3.75,Real Estate
80,CPB,31.93,0.08,9519290368,2504252,4.86,Consumer Defensive
81,COF,215.0225,1.149,137506897920,1490678,1.12,Financial Services
82,CAH,158.19,0.689,37756313600,433711,1.29,Healthcare
83,KMX,57.39,1.379,8612631552,2261615,0.0,Consumer Cyclical
84,CARR,68.91,1.312,58643996672,3674962,1.32,Industrials
85,CAT,439.515,1.38,206710505472,1592443,1.39,Industrials
86,CBOE,242.223,0.424,25363898368,338419,1.04,Financial Services
87,CBRE,156.24,1.304,46575927296,557024,0.0,Real Estate
88,CDW,176.72,0.927,23271372800,474617,1.39,Technology
89,COR,290.37,0.568,56280387584,360655,0.75,Healthcare
90,CNC,25.865,0.442,12703155200,9534134,0.0,Healthcare
91,CNP,38.915,0.562,25406242816,2940750,2.29,Utilities
92,CF,92.135,0.941,14926791680,572082,2.16,Communication Services
93,CRL,172.365,1.498,8465827840,221725,0.0,Healthcare
94,SCHW,98.25,0.926,178517295104,2892559,1.1,Financial Services
95,CHTR,271.62,1.078,37100847104,2071637,0.0,Communication Services
96,CVX,151.915,0.803,308878114816,3962620,4.45,Energy
97,CMG,43.12,1.079,57818742784,12443748,0.0,Consumer Cyclical
98,CB,266.7275,0.537,106341588992,1042825,1.46,Financial Services
99,CHD,94.72,0.501,23327356928,1455466,1.23,Consumer Defensive
100,CI,275.7,0.454,73651331072,2597563,2.03,Healthcare
101,CINF,148.5842,0.768,23235002368,287568,2.33,Financial Services
102,CTAS,223.92,1.042,90234830848,406283,0.81,Industrials
103,CSCO,68.215,0.899,270131380224,7602625,2.4,Technology
104,C,94.65,1.329,174241185792,5770268,2.5,Financial Services
105,CFG,47.85,1.089,20707995648,1511698,3.45,Financial Services
106,CLX,126.1,0.504,15542203392,800199,3.87,Consumer Defensive
107,CME,280.03,0.455,100917207040,683785,1.8,Financial Services
108,CMS,72.895,0.37,21804642304,1507729,3.01,Utilities
109,KO,68.27,0.45,293811519488,6565341,2.97,Consumer Defensive
110,CTSH,72.37,0.952,35674214400,4594541,1.69,Technology
111,COIN,384.5,3.712,97934065664,6017493,0.0,Financial Services
112,CL,84.432,0.371,68425379840,3796672,2.42,Consumer Defensive
113,CMCSA,33.495,0.947,125060284416,22549491,4.06,Communication Services
114,CAG,18.375,0.107,8773015552,5798208,7.56,Consumer Defensive
115,COP,95.72,0.623,120837881856,2143345,3.23,Energy
116,ED,103.03,0.242,37121298432,580929,3.31,Utilities
117,STZ,168.06,0.664,29632505856,1132331,2.38,Consumer Defensive
118,CEG,347.39,1.141,108877930496,1374839,0.45,Utilities
119,CPRT,46.0,1.071,44479057920,1935026,0.0,Industrials
120,GLW,62.73,1.097,53663694848,3345682,1.79,Technology
121,CPAY,325.0175,0.957,22911588352,167467,0.0,Technology
122,CTVA,72.03,0.755,49136701440,1567369,1.0,Communication Services
123,CSGP,95.62,0.89,40509411328,1109461,0.0,Real Estate
124,COST,940.9871,0.961,417306148864,1370396,0.56,Consumer Defensive
125,CTRA,24.3,0.331,18547240960,2679020,3.62,Energy
126,CRWD,458.3,1.157,114230353920,1491494,0.0,Technology
127,CCI,105.14,0.898,45784158208,1326970,3.97,Real Estate
128,CSX,35.17,1.23,65566728192,7469575,1.47,Industrials
129,CMI,368.715,1.019,50792337408,274118,2.19,Industrials
130,CVS,62.83,0.576,79481208832,15964553,4.27,Healthcare
131,DHR,200.27,0.801,143403728896,2652606,0.63,Healthcare
132,DRI,202.93,0.737,23749707776,428052,2.95,Consumer Cyclical
133,DDOG,141.0,1.026,48694771712,7041774,0.0,Technology
134,DVA,141.43,1.106,10688855040,201850,0.0,Healthcare
135,DAY,58.295,1.087,9320261632,404457,0.0,Technology
136,DECK,106.93,0.991,15862318080,1738198,0.0,Consumer Cyclical
137,DE,524.2476,1.085,141980418048,765903,1.28,Industrials
138,DELL,133.745,1.098,90462707712,1846053,1.57,Technology
139,DAL,53.405,1.491,34870685696,3319431,1.4,Industrials
140,DVN,33.24,1.06,21343404032,2666067,2.84,Energy
141,DXCM,81.865,1.448,32099840000,4987145,0.0,Healthcare
142,FANG,148.5,1.024,43386949632,893378,3.47,Energy
143,DLR,177.09,0.968,61387186176,813902,2.75,Real Estate
144,DG,105.4563,0.315,23207874560,1487843,2.24,Consumer Defensive
145,DLTR,113.32,0.862,23649431552,1181437,0.0,Consumer Defensive
146,D,58.07,0.551,49521569792,4089108,4.58,Utilities
147,DPZ,467.985,1.093,15887575040,346299,1.46,Consumer Cyclical
